Date,Open,High,Low,Close,Volume,wind_code
2018/10/10,2495.8598,2518.607,2472.1897,2494.0558,2042109500,000016.SH
2018/10/9,2481.5885,2506.2665,2476.3458,2491.6628,2166862000,000016.SH
2018/10/8,2544.4908,2548.8941,2481.1833,2486.8222,3370775200,000016.SH
2018/9/28,2580.6563,2618.8254,2577.9827,2606.6676,2878034500,000016.SH
2018/9/27,2582.1155,2584.0671,2561.576,2575.4485,2295330900,000016.SH
2018/9/26,2555.9205,2610.5899,2553.1663,2582.7666,3370433800,000016.SH
2018/9/25,2545.2136,2560.7169,2536.4278,2547.7911,2432129000,000016.SH
2018/9/21,2495.7377,2573.6031,2485.4117,2573.6031,4175327800,000016.SH
2018/9/20,2492.3952,2503.0998,2480.5359,2487.4223,2294844100,000016.SH
2018/9/19,2455.4421,2505.0027,2452.5801,2487.0771,2897384800,000016.SH
2018/9/18,2391.9463,2459.7704,2391.7279,2458.7677,2289194200,000016.SH
2018/9/17,2411.3765,2418.1387,2397.9374,2399.8807,1368429300,000016.SH
2018/9/14,2421.6597,2434.6738,2410.6633,2425.4208,1639188300,000016.SH
2018/9/13,2413.4104,2419.9987,2381.0254,2415.3115,2147199100,000016.SH
2018/9/12,2389.2845,2398.7281,2373.0362,2381.3883,1684524500,000016.SH
2018/9/11,2412.1806,2422.9416,2387.6431,2398.7678,1811110100,000016.SH
2018/9/10,2431.1783,2440.107,2410.7861,2413.4258,1804125700,000016.SH
2018/9/7,2424.417,2458.2582,2416.1616,2437.677,1836083000,000016.SH
2018/9/6,2432.3952,2449.8324,2408.934,2416.0328,2087391100,000016.SH
2018/9/5,2488.9038,2493.473,2441.2299,2441.2299,2131644400,000016.SH
2018/9/4,2467.2526,2507.0367,2451.7197,2500.4376,2059380500,000016.SH
2018/9/3,2461.86,2470.5142,2445.8731,2465.8797,1830665500,000016.SH
2018/8/31,2462.7956,2490.4603,2455.9854,2474.4765,2622178100,000016.SH
2018/8/30,2506.5297,2519.401,2479.2095,2479.2095,1823355200,000016.SH
2018/8/29,2506.1492,2515.0018,2497.8187,2503.4801,1818397700,000016.SH
2018/8/28,2524.9224,2530.4967,2503.8061,2511.1452,2140162700,000016.SH
2018/8/27,2484.4092,2522.3395,2482.5165,2522.3395,2838508200,000016.SH
2018/8/24,2449.3718,2496.3853,2438.7209,2471.9989,2076060800,000016.SH
2018/8/23,2453.6554,2474.6885,2435.1603,2461.0673,1885643000,000016.SH
2018/8/22,2461.4007,2461.4007,2438.9424,2450.1537,1605291600,000016.SH
2018/8/21,2411.9829,2461.1357,2410.8882,2452.3833,2435895500,000016.SH
2018/8/20,2386.143,2409.1289,2370.8243,2409.1289,2300128300,000016.SH
2018/8/17,2427.4705,2429.6778,2370.0406,2374.1729,2062984800,000016.SH
2018/8/16,2381.0087,2430.9171,2367.0476,2405.1638,2549871800,000016.SH
2018/8/15,2467.2474,2467.4461,2405.6043,2408.7219,1975617300,000016.SH
2018/8/14,2475.4668,2482.7051,2454.9847,2469.2002,1707193100,000016.SH
2018/8/13,2480.1013,2485.2335,2442.2277,2478.5086,2294184900,000016.SH
2018/8/10,2505.3103,2518.1091,2485.9756,2503.2058,1942120900,000016.SH
2018/8/9,2437.4492,2510.3592,2435.7942,2504.6172,2657695900,000016.SH
2018/8/8,2476.401,2481.8426,2443.0683,2446.9978,2359092900,000016.SH
2018/8/7,2416.0124,2480.0957,2407.6426,2479.7796,2975211000,000016.SH
2018/8/6,2417.3015,2448.9765,2393.6822,2406.5365,2572304100,000016.SH
2018/8/3,2438.8435,2452.0665,2413.2507,2413.5032,2154621300,000016.SH
2018/8/2,2483.757,2485.4082,2412.9611,2440.3127,2960110900,000016.SH
2018/8/1,2557.605,2570.3119,2489.1249,2490.2454,2737226900,000016.SH
2018/7/31,2537.0289,2553.8068,2521.8197,2545.1243,2024192900,000016.SH
2018/7/30,2525.3808,2562.7609,2515.5526,2541.3081,2450625500,000016.SH
2018/7/27,2529.6595,2541.2253,2515.8892,2525.0915,1896672800,000016.SH
2018/7/26,2570.4844,2578.7151,2525.6665,2530.9913,2532843100,000016.SH
2018/7/25,2573.9288,2573.9594,2550.966,2563.6871,2650728100,000016.SH
2018/7/24,2534.0715,2579.5931,2534.0715,2563.5835,4883341600,000016.SH
2018/7/23,2482.0482,2533.7736,2478.1883,2526.8127,3962566300,000016.SH
2018/7/20,2426.0974,2506.9362,2409.0533,2493.765,3445347100,000016.SH
2018/7/19,2432.8921,2452.4453,2418.66,2426.1628,2044605400,000016.SH
2018/7/18,2437.3761,2458.4802,2419.3161,2420.7591,1780746500,000016.SH
2018/7/17,2443.5479,2446.0981,2414.3524,2430.4445,1666643300,000016.SH
2018/7/16,2471.1523,2484.1708,2438.8598,2448.765,1987246200,000016.SH
2018/7/13,2480.8213,2481.5568,2464.9487,2476.8642,1983210000,000016.SH
2018/7/12,2425.6658,2490.4438,2425.6658,2474.6247,2732409300,000016.SH
2018/7/11,2420.1787,2443.3456,2409.3108,2432.2785,2085190100,000016.SH
2018/7/10,2475.9776,2477.8448,2448.8609,2471.2299,2137346000,000016.SH
2018/7/9,2410.5172,2471.7978,2410.5172,2471.2851,2433336600,000016.SH
2018/7/6,2378.8689,2422.4035,2349.4759,2402.617,2492203000,000016.SH
2018/7/5,2370.8634,2398.5647,2352.9749,2374.3553,2526863900,000016.SH
2018/7/4,2381.2531,2403.5109,2365.8939,2368.4251,1966447700,000016.SH
2018/7/3,2389.3604,2395.0801,2331.8404,2388.9763,2907468000,000016.SH
2018/7/2,2473.3116,2473.7343,2370.3999,2386.3765,2610815100,000016.SH
2018/6/29,2431.8087,2481.3228,2429.5937,2479.9115,2076265300,000016.SH
2018/6/28,2431.8604,2461.1738,2418.295,2425.1758,2285604900,000016.SH
2018/6/27,2500.0663,2512.5855,2438.0431,2452.6386,2742691900,000016.SH
2018/6/26,2516.0829,2519.1612,2470.1462,2506.7166,2645010000,000016.SH
2018/6/25,2593.6247,2595.9885,2535.1222,2536.4599,2344308400,000016.SH
2018/6/22,2564.8679,2586.3338,2553.2993,2583.708,1965883400,000016.SH
2018/6/21,2597.3032,2628.0383,2575.1735,2579.0517,2463238600,000016.SH
2018/6/20,2588.1187,2607.4674,2567.4983,2598.328,2383085500,000016.SH
2018/6/19,2638.3951,2646.6398,2571.6922,2599.7801,5757435500,000016.SH
2018/6/15,2657.5896,2677.3105,2657.506,2667.9751,2561838900,000016.SH
2018/6/14,2662.2343,2691.0449,2659.5741,2671.2975,2135695700,000016.SH
2018/6/13,2681.3132,2686.0677,2662.7477,2671.6265,1938716500,000016.SH
2018/6/12,2662.3871,2691.9664,2650.9744,2687.7018,1964300800,000016.SH
2018/6/11,2644.4271,2665.9317,2633.082,2660.4084,1977501800,000016.SH
2018/6/8,2686.0929,2686.1535,2637.3625,2652.0823,2603121200,000016.SH
2018/6/7,2697.5121,2717.0637,2693.1048,2695.2374,2351103000,000016.SH
2018/6/6,2702.7119,2703.4144,2688.3289,2692.1807,2052311800,000016.SH
2018/6/5,2697.6934,2712.1161,2680.2417,2707.0168,2221440500,000016.SH
2018/6/4,2664.845,2697.7518,2658.5681,2694.577,2254628800,000016.SH
2018/6/1,2652.2511,2664.3107,2637.3739,2647.1867,2038762400,000016.SH
2018/5/31,2626.9376,2661.6567,2624.6717,2658.2917,2650681000,000016.SH
2018/5/30,2632.7129,2637.1916,2604.9059,2605.9005,2420898600,000016.SH
2018/5/29,2666.8301,2676.6828,2642.8669,2663.4034,2689562400,000016.SH
2018/5/28,2661.2082,2682.7805,2650.398,2673.1985,1853303900,000016.SH
